Database,table,variable,modality_code,label
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,8170,Régime d'assurance chômage
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,8190,Autre régime de prévoyance sociale
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,8210,Mutuelle
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,8250,Assurance mutuelle agricole
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,8290,Autre organisme mutualiste
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,8310,Comité central d'entreprise
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,8311,Comité d'établissement
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,8410,Syndicat de salariés
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,8420,Syndicat patronal
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,8450,Ordre professionnel ou assimilé
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,8470,Centre technique industriel ou comité professionnel du développement économique
