"Base Tous Salariés fichier Etablissements - 2021"





etab
"Fichier national « Établissements » enrichi, contenant des données 2021 par établissement, des données de niveau entreprise redescendues au niveau établissement et des données de niveau poste agrégées au niveau établissement"

"Nom de la variable";Libellé;Modalités
s_brut_eqtp_d_60;"6ème décile par établissement du salaire brut par équivalent temps plein";
s_brut_eqtp_d_70;"7ème décile par établissement du salaire brut par équivalent temps plein";
s_brut_eqtp_d_80;"8ème décile par établissement du salaire brut par équivalent temps plein";
s_brut_eqtp_d_90;"9ème décile par établissement du salaire brut par équivalent temps plein";
s_brut_sexecs_11;"Salaire brut total pour sexe correspondant à 1 et catégorie socioprofessionnelle correspondant à 1";
s_brut_sexecs_12;"Salaire brut total pour sexe correspondant à 1 et catégorie socioprofessionnelle correspondant à 2";
s_brut_sexecs_13;"Salaire brut total pour sexe correspondant à 1 et catégorie socioprofessionnelle correspondant à 3";
s_brut_sexecs_14;"Salaire brut total pour sexe correspondant à 1 et catégorie socioprofessionnelle correspondant à 4";
s_brut_sexecs_15;"Salaire brut total pour sexe correspondant à 1 et catégorie socioprofessionnelle correspondant à 5";
s_brut_sexecs_16;"Salaire brut total pour sexe correspondant à 1 et catégorie socioprofessionnelle correspondant à 6";
s_brut_sexecs_21;"Salaire brut total pour sexe correspondant à 2 et catégorie socioprofessionnelle correspondant à 1";
s_brut_sexecs_22;"Salaire brut total pour sexe correspondant à 2 et catégorie socioprofessionnelle correspondant à 2";
s_brut_sexecs_23;"Salaire brut total pour sexe correspondant à 2 et catégorie socioprofessionnelle correspondant à 3";
s_brut_sexecs_24;"Salaire brut total pour sexe correspondant à 2 et catégorie socioprofessionnelle correspondant à 4";
s_brut_sexecs_25;"Salaire brut total pour sexe correspondant à 2 et catégorie socioprofessionnelle correspondant à 5";
s_brut_sexecs_26;"Salaire brut total pour sexe correspondant à 2 et catégorie socioprofessionnelle correspondant à 6";
s_nbh;"Total des heures salariées (postes annexes et non annexes)";
s_nbh_sexecs_11;"Total des heures salariées (postes annexes et non annexes) pour sexe correspondant à 1 et catégorie socioprofessionnelle correspondant à 1";
s_nbh_sexecs_12;"Total des heures salariées (postes annexes et non annexes) pour sexe correspondant à 1 et catégorie socioprofessionnelle correspondant à 2";
s_nbh_sexecs_13;"Total des heures salariées (postes annexes et non annexes) pour sexe correspondant à 1 et catégorie socioprofessionnelle correspondant à 3";
s_nbh_sexecs_14;"Total des heures salariées (postes annexes et non annexes) pour sexe correspondant à 1 et catégorie socioprofessionnelle correspondant à 4";
s_nbh_sexecs_15;"Total des heures salariées (postes annexes et non annexes) pour sexe correspondant à 1 et catégorie socioprofessionnelle correspondant à 5";
s_nbh_sexecs_16;"Total des heures salariées (postes annexes et non annexes) pour sexe correspondant à 1 et catégorie socioprofessionnelle correspondant à 6";
s_nbh_sexecs_21;"Total des heures salariées (postes annexes et non annexes) pour sexe correspondant à 2 et catégorie socioprofessionnelle correspondant à 1";
s_nbh_sexecs_22;"Total des heures salariées (postes annexes et non annexes) pour sexe correspondant à 2 et catégorie socioprofessionnelle correspondant à 2";
s_nbh_sexecs_23;"Total des heures salariées (postes annexes et non annexes) pour sexe correspondant à 2 et catégorie socioprofessionnelle correspondant à 3";
s_nbh_sexecs_24;"Total des heures salariées (postes annexes et non annexes) pour sexe correspondant à 2 et catégorie socioprofessionnelle correspondant à 4";
s_nbh_sexecs_25;"Total des heures salariées (postes annexes et non annexes) pour sexe correspondant à 2 et catégorie socioprofessionnelle correspondant à 5";
s_nbh_sexecs_26;"Total des heures salariées (postes annexes et non annexes) pour sexe correspondant à 2 et catégorie socioprofessionnelle correspondant à 6";
s_net;"Salaire net";
s_net_eqtp_d_10;"1er décile par établissement du salaire net par équivalent temps plein";
s_net_eqtp_d_20;"2éme décile par établissement du salaire net par équivalent temps plein";
s_net_eqtp_d_30;"3ème décile par établissement du salaire net par équivalent temps plein";
s_net_eqtp_d_40;"4ème décile par établissement du salaire net par équivalent temps plein";
s_net_eqtp_d_50;"5ème décile par établissement du salaire net par équivalent temps plein";
s_net_eqtp_d_60;"6ème décile par établissement du salaire net par équivalent temps plein";
s_net_eqtp_d_70;"7ème décile par établissement du salaire net par équivalent temps plein";
s_net_eqtp_d_80;"8ème décile par établissement du salaire net par équivalent temps plein";
s_net_eqtp_d_90;"9ème décile par établissement du salaire net par équivalent temps plein";
saison;"Caractère saisonnier de l'établissement";"P - Activité permanente";"S - Activité saisonnière";"NR - Non renseigné"
siren;"SIREN du lieu de travail";
siret;"SIRET du lieu de travail";
treffect;"Tranche d’effectif au 31/12 (postes non annexes) de l’établissement";"00 - 0 poste";"01 - 1 à 4 postes";"02 - 5 à 9 postes";"03 - 10 à 19 postes";"04 - 20 à 49 postes";"05 - 50 à 99 postes";"06 - 100 à 249 postes";"07 - 250 à 499 postes";"08 - 500 à 999 postes";"09 - 1000 à 1999 postes";"10 - 2000 à 4999 postes";"11 - 5000 postes et plus"
uut;"Unité urbaine du lieu de travail";"Base des unités urbaines 2020 - <a href correspondant à 'https://www.insee.fr/fr/information/4802589' target correspondant à ""_blank""> cliquer ici</a>"
zempt;"Zone d'emploi du lieu de travail";"Base des zones d'emploi 2020 - <a href correspondant à 'https://www.insee.fr/fr/information/4652957' target correspondant à ""_blank""> cliquer ici</a>"
a6_1;"Activité principale de l'établissement selon la nomenclature agrégée A6 N-1";"A6 - <a href correspondant à 'https://www.insee.fr/fr/information/2028155' target correspondant à ""_blank""> cliquer ici</a>"
a17_1;"Activité principale de l'établissement selon la nomenclature agrégée A17 N-1";"A17 - <a href correspondant à 'https://www.insee.fr/fr/information/2028155' target correspondant à ""_blank""> cliquer ici</a>"
a38_1;"Activité principale de l'établissement selon la nomenclature agrégée A38 N-1";"A38 - <a href correspondant à 'https://www.insee.fr/fr/information/2028155' target correspondant à ""_blank""> cliquer ici</a>"
a88_1;"Activité principale de l'établissement selon la nomenclature agrégée A88 N-1";"A88 - <a href correspondant à 'https://www.insee.fr/fr/information/2028155' target correspondant à ""_blank""> cliquer ici</a>"
apen_1;"Activité principale de l'entreprise selon la NAF révision 2 N-1";"NAF révision 2 - <a href correspondant à 'https://www.insee.fr/fr/information/2120875' target correspondant à ""_blank""> cliquer ici</a>"
apet_1;"Activité principale de l'établissement selon la NAF révision 2 N-1";"NAF révision 2 - <a href correspondant à 'https://www.insee.fr/fr/information/2120875' target correspondant à ""_blank""> cliquer ici</a>"
catjur_1;"Catégorie juridique du lieu de travail N-1";"Niveau III - <a href correspondant à 'https://www.insee.fr/fr/information/2028129' target correspondant à ""_blank ""> cliquer ici</a>"
codecom_siege_1;"Code géographique de la commune d'implantation de l'établissement siège de l'entreprise N-1";"Code commune - <a href correspondant à 'https://www.insee.fr/fr/information/2560452' target correspondant à ""_blank""> cliquer ici</a>"
comt_1;"Commune du lieu de travail N-1";"Code commune - <a href correspondant à 'https://www.insee.fr/fr/information/2560452' target correspondant à ""_blank""> cliquer ici</a>"
conv_coll_eta_1_1;"1ère convention collective par ordre d’effectif N-1";"Nomenclatures des conventions collectives - <a href correspondant à 'https://travail-emploi.gouv.fr/dialogue-social/negociation-collective/article/conventions-collectives-nomenclatures' target correspondant à ""_blank""> cliquer ici</a>"
conv_coll_eta_10_1;"10ème convention collective par ordre d’effectif N-1";"Nomenclatures des conventions collectives - <a href correspondant à 'https://travail-emploi.gouv.fr/dialogue-social/negociation-collective/article/conventions-collectives-nomenclatures' target correspondant à ""_blank""> cliquer ici</a>"
conv_coll_eta_2_1;"2ème convention collective par ordre d’effectif N-1";"Nomenclatures des conventions collectives - <a href correspondant à 'https://travail-emploi.gouv.fr/dialogue-social/negociation-collective/article/conventions-collectives-nomenclatures' target correspondant à ""_blank""> cliquer ici</a>"
conv_coll_eta_3_1;"3ème convention collective par ordre d’effectif N-1";"Nomenclatures des conventions collectives - <a href correspondant à 'https://travail-emploi.gouv.fr/dialogue-social/negociation-collective/article/conventions-collectives-nomenclatures' target correspondant à ""_blank""> cliquer ici</a>"
conv_coll_eta_4_1;"4ème convention collective par ordre d’effectif N-1";"Nomenclatures des conventions collectives - <a href correspondant à 'https://travail-emploi.gouv.fr/dialogue-social/negociation-collective/article/conventions-collectives-nomenclatures' target correspondant à ""_blank""> cliquer ici</a>"
conv_coll_eta_5_1;"5ème convention collective par ordre d’effectif N-1";"Nomenclatures des conventions collectives - <a href correspondant à 'https://travail-emploi.gouv.fr/dialogue-social/negociation-collective/article/conventions-collectives-nomenclatures' target correspondant à ""_blank""> cliquer ici</a>"
conv_coll_eta_6_1;"6ème convention collective par ordre d’effectif N-1";"Nomenclatures des conventions collectives - <a href correspondant à 'https://travail-emploi.gouv.fr/dialogue-social/negociation-collective/article/conventions-collectives-nomenclatures' target correspondant à ""_blank""> cliquer ici</a>"
conv_coll_eta_7_1;"7ème convention collective par ordre d’effectif N-1";"Nomenclatures des conventions collectives - <a href correspondant à 'https://travail-emploi.gouv.fr/dialogue-social/negociation-collective/article/conventions-collectives-nomenclatures' target correspondant à ""_blank""> cliquer ici</a>"
conv_coll_eta_8_1;"8ème convention collective par ordre d’effectif N-1";"Nomenclatures des conventions collectives - <a href correspondant à 'https://travail-emploi.gouv.fr/dialogue-social/negociation-collective/article/conventions-collectives-nomenclatures' target correspondant à ""_blank""> cliquer ici</a>"
conv_coll_eta_9_1;"9ème convention collective par ordre d’effectif N-1";"Nomenclatures des conventions collectives - <a href correspondant à 'https://travail-emploi.gouv.fr/dialogue-social/negociation-collective/article/conventions-collectives-nomenclatures' target correspondant à ""_blank""> cliquer ici</a>"
dat_cess_1;"Date de cessation économique N-1";
